Temperature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
39.5,28.1,55.0,red,onion,90.0,60.9,40.0,Urea
30.6,85.8,46.9,red,sorghum,80.0,95.5,40.0,Urea
19.4,79.4,46.0,red,mango,60.0,59.1,30.0,DAP
18.9,28.9,31.0,alluvial,watermelon,137.2,123.3,40.0,No Fertilizer Needed
19.0,58.4,10.0,red,tea,120.0,80.0,40.0,Urea
23.9,51.0,20.7,loamy,beans,84.6,94.7,41.0,No Fertilizer Needed
12.5,56.1,41.6,alluvial,potato,120.0,109.6,60.0,Urea
16.7,33.9,11.2,loamy,pigeon peas,64.0,98.7,40.0,No Fertilizer Needed
22.4,64.1,19.7,black,maize,122.1,95.9,40.0,No Fertilizer Needed
10.2,72.6,48.5,alluvial,beans,55.9,57.8,40.0,No Fertilizer Needed
11.5,37.4,52.4,black,sorghum,96.9,153.1,47.6,No Fertilizer Needed
19.5,72.9,32.1,red,sweet potato,86.5,80.0,40.0,10-26-26
36.9,72.1,33.7,black,sweet potato,76.2,149.1,40.0,DAP
28.8,39.2,13.9,black,sorghum,80.0,106.2,40.0,DAP
14.2,36.2,44.7,clay,sweet potato,158.4,98.4,40.0,No Fertilizer Needed
22.5,34.5,31.0,black,sweet potato,144.0,156.9,40.0,No Fertilizer Needed
24.3,86.0,24.9,black,coffee,100.0,175.8,50.9,Urea
32.0,76.0,54.9,alluvial,sweet potato,93.1,85.7,40.0,DAP
30.1,75.9,46.2,loamy,watermelon,117.6,108.6,41.6,No Fertilizer Needed
37.2,61.4,43.1,clay,sweet potato,74.3,150.0,40.3,No Fertilizer Needed
17.8,42.9,32.7,clay,potato,120.0,100.0,60.6,Urea
35.0,52.9,47.5,loamy,onion,90.0,60.0,42.6,Urea
11.2,22.2,22.4,alluvial,maize,127.3,63.5,40.0,No Fertilizer Needed
13.4,86.3,33.3,alluvial,pearl millet,70.5,96.5,30.0,No Fertilizer Needed
38.9,27.6,11.3,sandy,cotton,90.0,64.1,45.0,Urea
15.9,61.4,51.5,alluvial,watermelon,80.0,69.1,40.0,Urea
34.2,75.7,38.3,red,pigeon peas,34.3,76.2,40.0,DAP
29.4,20.9,31.0,red,maize,80.0,55.9,40.0,DAP
14.6,32.3,36.1,alluvial,chickpea,108.9,124.8,40.0,No Fertilizer Needed
23.1,71.2,23.4,black,pearl millet,138.4,74.7,48.7,No Fertilizer Needed
32.5,59.9,43.4,sandy,chickpea,36.1,35.6,40.0,DAP
20.6,38.1,24.0,sandy,pearl millet,60.0,46.0,30.0,Urea
12.6,70.4,34.4,sandy,sorghum,80.0,50.1,40.0,DAP
33.8,26.5,21.1,black,pearl millet,121.6,141.5,30.0,No Fertilizer Needed
25.9,49.8,47.3,red,pearl millet,60.0,49.8,30.7,Urea
13.6,33.5,16.0,sandy,groundnut,45.1,40.0,40.0,10-26-26
24.5,70.7,58.8,alluvial,tomato,100.0,100.0,50.0,10-26-26
16.8,32.6,10.7,loamy,tomato,100.0,108.1,50.0,DAP
30.9,28.8,53.4,loamy,sweet potato,86.2,80.0,40.2,No Fertilizer Needed
23.2,32.9,12.6,black,pearl millet,147.8,174.0,35.4,No Fertilizer Needed
12.2,64.1,12.7,black,watermelon,80.0,104.0,40.0,Urea
26.7,49.1,39.8,clay,soybean,146.5,95.3,55.9,No Fertilizer Needed
35.8,89.3,25.3,loamy,chickpea,97.9,90.5,40.0,No Fertilizer Needed
16.3,66.2,17.9,alluvial,tomato,100.0,100.0,50.0,10-26-26
27.8,40.4,21.6,alluvial,chickpea,114.4,82.9,40.0,No Fertilizer Needed
37.7,75.1,41.3,sandy,pigeon peas,50.8,40.1,40.0,DAP
29.4,83.6,51.3,sandy,sweet potato,60.0,80.0,40.0,10-26-26
23.2,52.8,25.2,loamy,coffee,100.0,75.5,40.0,DAP
27.9,82.3,46.7,clay,chickpea,144.5,78.3,40.0,No Fertilizer Needed
27.6,21.5,48.2,red,pigeon peas,86.9,83.0,40.0,No Fertilizer Needed
25.6,51.0,23.9,black,potato,153.7,172.9,60.0,DAP
20.4,43.3,43.5,black,maize,139.1,156.6,40.0,No Fertilizer Needed
38.4,76.9,37.5,alluvial,banana,100.0,200.0,40.0,10-26-26
34.7,20.1,53.5,red,watermelon,80.0,66.5,40.0,DAP
28.8,73.2,20.2,black,tea,120.0,122.1,52.3,Urea
10.9,64.1,50.0,clay,pearl millet,158.8,54.0,35.0,No Fertilizer Needed
16.7,78.9,15.7,clay,onion,190.9,69.8,50.1,No Fertilizer Needed
31.2,49.1,34.1,red,banana,100.0,200.0,40.0,10-26-26
25.2,81.6,53.2,red,tomato,100.0,100.0,50.0,Urea
34.6,39.8,24.9,loamy,sorghum,94.8,71.7,44.0,No Fertilizer Needed
26.2,44.2,37.6,black,sugarcane,150.0,106.4,60.0,Urea
17.2,46.8,52.8,alluvial,tomato,100.0,100.0,50.0,DAP
39.7,75.5,42.6,black,watermelon,80.0,80.0,53.7,Urea
36.1,81.2,32.0,loamy,coffee,100.0,89.2,40.0,DAP
39.1,25.2,49.1,alluvial,onion,90.0,77.8,40.0,Urea
35.6,80.2,29.0,loamy,maize,80.0,92.0,40.0,Urea
28.5,36.4,44.2,clay,sweet potato,101.8,80.0,40.0,10-26-26
31.1,27.0,18.3,alluvial,cotton,90.0,71.2,45.0,DAP
20.8,50.1,22.2,loamy,wheat,100.0,48.5,50.0,DAP
28.3,46.8,44.2,clay,potato,130.2,100.0,60.0,10-26-26
23.8,66.7,54.9,loamy,beans,83.9,76.0,40.0,No Fertilizer Needed
38.4,89.1,25.0,black,maize,150.0,124.7,43.4,No Fertilizer Needed
40.0,79.7,15.3,sandy,banana,100.0,200.0,40.0,10-26-26
39.3,66.1,23.7,clay,banana,139.4,200.0,51.9,10-26-26
32.4,78.3,55.1,red,wheat,100.0,85.6,50.0,DAP
15.7,37.5,47.8,alluvial,soybean,120.3,54.3,40.0,No Fertilizer Needed
29.4,41.6,32.0,alluvial,cotton,102.0,50.1,45.0,DAP
32.4,32.3,16.6,loamy,banana,100.0,200.0,43.1,10-26-26
17.7,77.7,34.1,sandy,groundnut,57.3,40.0,40.0,DAP
38.9,29.9,58.3,black,cotton,139.3,195.3,45.0,No Fertilizer Needed
12.7,47.6,23.2,loamy,sweet potato,60.0,91.2,40.0,DAP
21.4,64.7,28.6,red,groundnut,77.1,73.3,40.0,No Fertilizer Needed
37.5,35.5,13.2,loamy,sweet potato,116.1,80.0,41.3,10-26-26
14.2,86.2,25.2,clay,onion,129.5,152.3,40.0,DAP
23.6,66.9,47.2,black,sugarcane,150.0,163.2,60.0,DAP
29.6,78.4,40.8,black,sugarcane,150.0,156.2,60.0,DAP
23.3,36.5,28.1,black,tomato,152.0,184.7,50.0,DAP
11.8,39.3,58.4,loamy,beans,127.4,41.9,40.0,No Fertilizer Needed
29.2,88.0,12.5,alluvial,tomato,100.0,112.8,50.0,Urea
34.9,58.8,39.3,clay,tomato,172.8,139.6,50.0,No Fertilizer Needed
18.3,88.9,59.4,clay,tea,135.9,80.0,56.9,No Fertilizer Needed
10.4,75.3,21.9,sandy,rice,120.0,40.0,60.0,Urea
13.4,24.4,32.4,red,onion,90.0,62.0,40.0,Urea
11.3,74.8,53.3,red,soybean,66.7,96.6,40.0,DAP
35.4,49.8,15.4,black,wheat,123.8,184.4,50.0,DAP
14.5,28.8,41.2,red,mango,71.0,57.2,30.9,No Fertilizer Needed
18.8,55.4,31.5,red,tea,120.0,80.0,40.0,DAP
36.0,50.1,54.4,alluvial,sweet potato,85.8,80.0,43.7,No Fertilizer Needed
22.8,66.6,28.7,loamy,cotton,90.0,40.0,45.0,Urea
23.0,72.1,28.6,clay,maize,80.6,160.1,40.0,DAP
30.1,48.8,53.7,loamy,sweet potato,126.7,103.7,40.0,No Fertilizer Needed
28.0,44.6,38.9,loamy,wheat,100.0,51.8,50.0,Urea
35.4,45.7,48.1,loamy,cotton,93.7,98.4,45.0,DAP
30.2,59.0,40.4,red,tea,120.0,80.0,40.0,Urea
32.9,84.5,27.6,alluvial,groundnut,63.2,101.2,40.0,DAP
32.2,88.0,14.6,sandy,maize,80.0,41.4,40.0,DAP
19.3,42.7,57.1,loamy,potato,120.0,100.0,60.0,10-26-26
30.2,39.0,43.1,clay,tea,128.6,83.2,40.9,No Fertilizer Needed
20.4,27.8,43.9,clay,sorghum,143.1,87.2,44.7,No Fertilizer Needed
39.5,23.8,20.2,black,soybean,148.3,166.2,46.3,No Fertilizer Needed
13.6,54.8,31.5,loamy,banana,100.0,200.0,40.0,10-26-26
34.2,25.0,53.1,alluvial,sweet potato,60.0,124.9,40.0,DAP
22.9,48.3,42.0,red,mango,60.0,96.7,30.0,DAP
23.8,68.3,28.1,red,potato,120.0,100.0,60.0,DAP
12.4,80.9,47.3,red,watermelon,80.0,60.0,40.0,Urea
25.9,33.6,48.8,clay,beans,110.4,125.1,64.1,No Fertilizer Needed
13.1,37.9,18.7,sandy,sugarcane,150.0,60.0,60.0,Urea
23.9,59.5,39.0,black,beans,120.5,149.8,50.6,No Fertilizer Needed
35.9,63.9,17.5,loamy,tea,120.0,80.0,40.0,Urea
11.7,55.5,25.5,red,groundnut,62.0,87.6,40.0,DAP
35.9,79.9,40.8,alluvial,maize,94.9,91.9,40.0,DAP
37.3,60.0,19.4,black,wheat,112.5,192.3,50.0,DAP
34.3,78.6,59.1,clay,chickpea,74.4,56.9,50.1,No Fertilizer Needed
25.7,62.7,28.2,black,chickpea,145.4,167.6,40.0,No Fertilizer Needed
11.6,64.2,26.7,red,pigeon peas,53.8,57.6,40.0,DAP
35.5,87.5,40.1,alluvial,groundnut,60.2,101.7,40.0,DAP
39.0,68.9,29.6,loamy,grapes,95.6,80.0,42.1,10-26-26
33.7,76.9,43.5,alluvial,watermelon,126.3,103.7,40.7,No Fertilizer Needed
29.4,49.6,28.1,clay,sorghum,112.0,76.6,40.0,DAP
16.8,29.6,13.9,sandy,pearl millet,60.0,55.7,30.0,DAP
29.9,81.3,40.9,clay,sorghum,143.6,72.8,40.0,No Fertilizer Needed
31.6,23.1,28.2,sandy,tea,120.0,80.0,40.0,Urea
26.0,41.7,50.4,sandy,chickpea,42.1,37.6,40.0,DAP
23.9,39.7,29.1,black,coffee,104.4,173.3,53.7,No Fertilizer Needed
36.2,23.7,34.0,sandy,tea,120.0,80.0,40.0,Urea
18.6,73.4,23.6,clay,sorghum,185.2,101.7,40.0,No Fertilizer Needed
36.5,85.1,30.7,black,soybean,90.6,115.1,40.0,No Fertilizer Needed
16.7,42.3,15.0,loamy,maize,106.3,46.0,40.0,DAP
37.5,53.1,51.6,loamy,wheat,110.3,81.2,50.0,DAP
17.7,78.4,37.4,clay,maize,161.2,65.0,44.7,No Fertilizer Needed
19.0,23.3,31.0,sandy,banana,100.0,200.0,40.0,10-26-26
26.1,64.2,38.8,red,pearl millet,80.0,31.6,30.0,DAP
27.1,33.1,43.4,sandy,grapes,60.0,80.0,40.0,DAP
33.6,55.5,11.0,red,sweet potato,90.4,80.0,40.0,10-26-26
32.4,45.0,13.4,loamy,grapes,63.7,80.0,40.0,10-26-26
32.7,29.3,27.6,alluvial,coffee,100.0,116.7,40.0,Urea
39.4,53.5,19.1,black,pigeon peas,63.2,190.4,44.4,No Fertilizer Needed
16.0,75.4,54.3,loamy,wheat,100.0,64.9,50.0,DAP
17.6,72.7,19.6,black,sweet potato,86.5,179.9,46.8,No Fertilizer Needed
13.7,45.8,54.5,loamy,mango,108.9,64.0,40.8,No Fertilizer Needed
30.8,45.7,49.9,black,potato,120.0,120.3,60.0,DAP
39.9,32.6,24.7,red,onion,90.0,60.0,40.0,Urea
31.5,31.7,32.2,red,chickpea,61.7,93.0,40.0,No Fertilizer Needed
18.2,88.6,57.4,black,tea,120.0,112.0,41.4,Urea
38.6,30.0,40.4,sandy,pigeon peas,56.2,30.0,40.0,DAP
20.9,86.5,11.6,loamy,beans,55.8,62.8,40.0,DAP
27.2,57.1,29.9,clay,chickpea,150.7,65.3,40.0,No Fertilizer Needed
25.5,83.9,15.9,black,potato,130.4,100.0,60.0,DAP
30.8,89.9,20.0,loamy,tea,120.0,80.0,40.0,Urea
34.3,87.7,59.3,clay,chickpea,153.2,114.4,52.9,No Fertilizer Needed
35.5,69.8,56.4,loamy,banana,100.0,200.0,40.0,10-26-26
33.8,36.6,34.7,sandy,cotton,90.0,42.0,45.0,Urea
28.4,26.0,25.5,sandy,sweet potato,66.0,80.0,40.0,10-26-26
12.2,88.1,42.1,red,onion,90.0,60.0,40.0,Urea
27.6,73.7,16.5,alluvial,sweet potato,94.5,116.8,45.1,No Fertilizer Needed
19.1,31.3,56.7,sandy,sorghum,80.0,44.4,40.0,Urea
17.5,64.5,37.5,clay,banana,100.0,200.0,40.0,10-26-26
15.1,85.9,17.7,alluvial,sorghum,109.7,96.5,40.1,No Fertilizer Needed
34.8,22.0,12.3,clay,coffee,149.6,125.8,47.0,No Fertilizer Needed
28.5,22.1,54.4,black,coffee,106.3,103.8,41.6,No Fertilizer Needed
22.2,51.7,44.4,alluvial,soybean,60.9,83.8,40.0,No Fertilizer Needed
14.3,80.3,26.0,red,mango,98.2,58.4,30.0,No Fertilizer Needed
26.8,42.3,33.3,red,grapes,60.0,80.0,40.0,10-26-26
35.9,49.3,58.1,black,banana,143.7,200.0,48.0,No Fertilizer Needed
32.9,54.9,35.7,sandy,mango,60.0,40.0,30.0,10-26-26
23.7,36.9,39.2,red,watermelon,80.0,71.8,40.0,Urea
24.1,57.6,52.4,alluvial,beans,87.5,107.5,45.5,No Fertilizer Needed
11.4,23.6,38.1,loamy,watermelon,80.0,64.0,40.0,DAP
18.4,89.2,44.0,red,chickpea,39.5,58.1,40.0,No Fertilizer Needed
38.2,72.8,20.0,red,mango,65.9,40.0,30.0,10-26-26
20.0,53.2,32.8,alluvial,sugarcane,150.0,71.5,60.0,Urea
14.9,89.3,47.0,loamy,tea,120.0,97.1,40.0,Urea
31.3,41.0,50.8,black,sweet potato,87.7,195.3,42.8,No Fertilizer Needed
33.9,70.8,44.4,loamy,coffee,100.0,107.5,40.0,Urea
16.8,23.6,34.0,red,coffee,100.0,83.8,40.0,Urea
34.6,37.0,38.6,sandy,watermelon,80.0,60.0,40.0,DAP
22.4,34.3,35.1,sandy,onion,90.0,60.0,40.0,Urea
14.1,34.5,26.3,alluvial,wheat,110.1,70.2,50.0,DAP
37.4,44.0,27.7,black,potato,130.1,149.8,60.0,DAP
24.5,87.0,24.0,red,groundnut,51.6,97.8,40.0,No Fertilizer Needed
16.2,69.3,25.9,alluvial,banana,100.0,200.0,47.3,10-26-26
13.7,67.4,29.0,loamy,groundnut,130.2,106.6,40.0,No Fertilizer Needed
11.3,86.9,14.0,loamy,sugarcane,150.0,91.1,60.0,DAP
34.8,39.0,38.1,sandy,tomato,100.0,100.0,50.0,Urea
11.5,83.4,21.3,sandy,soybean,31.5,40.0,40.0,DAP
30.4,29.6,58.2,clay,pearl millet,195.0,126.0,30.0,No Fertilizer Needed
29.5,72.9,24.4,black,pearl millet,79.0,166.8,30.0,DAP
17.0,71.7,52.5,red,beans,34.0,59.7,40.0,No Fertilizer Needed
39.9,47.8,34.8,clay,potato,189.4,156.7,64.3,No Fertilizer Needed
19.0,62.2,56.4,clay,wheat,108.2,124.6,50.0,DAP
36.7,29.4,35.2,black,sorghum,80.0,107.6,47.8,Urea
17.7,33.0,46.8,alluvial,chickpea,122.6,110.2,40.0,No Fertilizer Needed
35.7,82.8,51.3,red,potato,120.0,100.0,60.0,DAP
24.3,85.5,10.3,sandy,potato,120.0,100.0,60.0,Urea
27.5,60.1,23.1,loamy,mango,74.4,85.1,30.0,DAP
14.8,68.0,56.2,loamy,chickpea,121.9,86.8,40.0,No Fertilizer Needed
21.0,35.5,57.9,loamy,beans,85.0,109.2,40.0,No Fertilizer Needed
31.1,83.9,47.9,black,grapes,133.2,165.9,48.5,No Fertilizer Needed
36.2,25.7,32.3,red,pigeon peas,79.0,69.6,40.0,DAP
37.1,34.2,36.8,red,wheat,100.0,61.3,50.0,Urea
31.5,54.2,54.9,sandy,pigeon peas,41.0,30.0,40.0,DAP
26.9,59.1,43.6,black,onion,90.0,97.4,40.0,DAP
16.5,25.1,31.2,alluvial,rice,120.0,47.4,60.0,DAP
11.0,48.6,48.4,black,maize,129.4,150.2,54.2,No Fertilizer Needed
39.8,46.8,53.5,loamy,onion,123.6,86.2,40.0,DAP
14.0,80.2,15.9,red,pigeon peas,98.5,40.1,40.0,No Fertilizer Needed
32.7,88.5,33.2,clay,soybean,160.1,95.2,40.1,No Fertilizer Needed
23.8,30.9,19.4,sandy,soybean,60.4,40.0,40.0,10-26-26
28.4,85.5,54.5,black,pigeon peas,74.3,143.2,40.0,DAP
30.2,81.1,22.2,red,chickpea,34.5,67.9,40.0,DAP
25.1,40.2,50.8,sandy,wheat,100.0,47.9,50.0,DAP
17.1,81.3,59.3,loamy,pigeon peas,88.9,55.6,40.0,No Fertilizer Needed
36.4,83.8,41.3,red,sweet potato,60.3,97.1,40.0,DAP
21.4,56.7,44.8,alluvial,beans,85.3,58.5,40.0,No Fertilizer Needed
17.2,35.8,52.9,black,sweet potato,64.2,80.0,40.0,10-26-26
26.7,29.4,22.1,black,onion,90.0,187.5,41.8,Urea
26.1,78.1,12.6,clay,grapes,113.9,80.0,48.2,No Fertilizer Needed
34.1,61.1,43.6,sandy,maize,80.0,61.8,40.0,Urea
16.4,33.3,47.1,clay,banana,163.8,200.0,54.9,10-26-26
16.1,84.1,37.6,alluvial,tea,121.1,90.0,40.0,DAP
17.8,55.9,34.9,loamy,grapes,60.0,80.0,43.4,Urea
21.1,49.0,38.1,sandy,mango,60.0,40.0,30.0,DAP
31.6,40.7,19.8,red,coffee,100.0,60.0,40.0,Urea
38.3,43.6,48.2,alluvial,sweet potato,93.1,108.6,40.2,No Fertilizer Needed
32.0,44.7,17.0,sandy,chickpea,45.6,61.0,40.0,DAP
25.7,78.7,13.7,clay,beans,173.4,53.2,40.0,No Fertilizer Needed
16.9,69.5,10.5,alluvial,sugarcane,150.0,97.6,60.0,Urea
37.4,66.1,10.8,red,pigeon peas,67.4,32.6,40.0,DAP
39.3,21.2,50.7,red,groundnut,77.0,92.9,40.0,No Fertilizer Needed
25.7,36.9,41.0,clay,cotton,97.1,141.9,45.0,DAP
38.8,52.1,22.2,loamy,maize,104.8,97.1,40.0,DAP
39.8,65.5,11.6,alluvial,maize,85.0,84.8,40.0,DAP
31.1,25.8,52.3,clay,beans,150.1,162.4,40.0,No Fertilizer Needed
37.6,36.1,55.1,red,cotton,90.0,49.8,45.0,DAP
37.8,83.0,38.2,alluvial,maize,80.0,70.3,47.1,Urea
14.3,77.4,51.0,red,tomato,100.0,100.0,50.0,10-26-26
30.3,57.8,29.2,black,coffee,126.7,156.1,47.1,No Fertilizer Needed
32.4,44.2,14.9,red,maize,80.0,72.3,40.0,DAP
21.9,74.1,11.5,red,tea,120.0,80.0,40.0,Urea
38.2,50.2,44.0,red,grapes,76.1,80.0,40.0,DAP
12.2,38.8,29.0,alluvial,soybean,121.9,77.1,40.0,No Fertilizer Needed
12.7,86.0,32.2,clay,grapes,165.8,80.0,40.0,No Fertilizer Needed
26.7,55.9,15.2,black,onion,90.0,143.6,40.0,Urea
10.4,49.0,49.0,black,mango,125.1,197.0,38.5,No Fertilizer Needed
25.6,68.0,18.5,red,soybean,49.7,41.4,40.0,DAP
18.3,41.0,49.1,black,potato,120.0,160.3,60.0,Urea
28.5,52.1,16.8,red,pearl millet,60.0,88.3,30.0,Urea
23.2,50.1,51.2,loamy,watermelon,100.6,60.0,40.0,10-26-26
16.0,42.0,58.2,alluvial,tea,140.0,104.5,40.0,DAP
33.5,42.8,24.0,red,pearl millet,84.5,94.4,30.0,DAP
39.9,32.6,48.4,red,tomato,100.0,100.0,50.0,Urea
33.9,78.2,13.5,black,tomato,138.0,153.9,50.0,No Fertilizer Needed
19.1,37.7,17.7,alluvial,sugarcane,150.0,82.4,60.0,Urea
27.5,57.4,56.2,black,tea,140.3,80.0,40.0,10-26-26
36.9,57.6,41.9,alluvial,grapes,60.0,101.2,41.7,Urea
29.4,23.1,59.2,sandy,grapes,60.0,80.0,40.0,10-26-26
10.3,38.1,35.5,clay,onion,133.0,117.2,47.1,No Fertilizer Needed
21.7,74.1,39.4,loamy,chickpea,87.0,36.8,40.0,No Fertilizer Needed
22.5,87.3,15.8,loamy,cotton,126.7,58.4,45.0,DAP
25.6,44.4,14.9,sandy,chickpea,53.5,30.0,40.0,DAP
13.5,79.4,42.4,alluvial,wheat,111.5,130.6,50.0,DAP
15.2,31.2,38.0,red,soybean,96.2,58.8,40.0,No Fertilizer Needed
29.2,50.2,11.5,sandy,potato,120.0,100.0,60.0,DAP
31.1,34.4,47.6,clay,watermelon,172.2,63.9,40.0,No Fertilizer Needed
21.0,33.8,15.7,sandy,sweet potato,60.0,80.0,40.0,DAP
21.7,47.5,15.7,red,mango,60.0,43.1,30.0,DAP
34.0,84.3,39.5,alluvial,pigeon peas,111.0,63.5,40.0,No Fertilizer Needed
21.2,29.9,29.4,sandy,cotton,90.0,40.0,45.0,Urea
26.1,84.3,56.5,alluvial,pearl millet,62.4,68.0,30.0,DAP
35.3,63.4,53.3,loamy,potato,127.7,100.0,60.0,10-26-26
25.2,54.6,44.2,red,watermelon,80.0,64.5,40.0,Urea
10.9,73.3,24.6,red,maize,80.0,42.9,40.0,Urea
32.3,73.6,37.5,red,chickpea,39.1,83.8,40.0,DAP
34.7,22.9,45.9,red,grapes,68.4,80.0,40.0,10-26-26
18.9,90.0,32.5,sandy,beans,36.7,40.8,40.0,DAP
16.3,71.6,44.5,sandy,cotton,90.0,40.3,45.0,DAP
33.5,76.9,50.3,sandy,tea,120.0,80.0,40.0,Urea
39.4,40.5,38.6,loamy,potato,127.7,102.5,60.0,DAP
38.9,75.0,55.9,sandy,cotton,90.0,40.0,45.0,DAP
14.4,42.5,22.4,sandy,sugarcane,150.0,60.0,60.0,Urea
28.8,46.3,13.8,loamy,beans,113.5,65.2,40.0,No Fertilizer Needed
38.1,45.8,57.5,alluvial,groundnut,77.4,111.7,40.0,DAP
39.2,64.4,44.9,alluvial,maize,128.4,77.8,42.6,No Fertilizer Needed
24.8,42.6,24.2,sandy,onion,90.0,60.0,40.0,DAP
32.9,23.2,41.3,alluvial,mango,127.1,125.6,30.0,No Fertilizer Needed
23.7,89.4,31.4,black,potato,153.5,182.1,60.0,No Fertilizer Needed
36.2,81.4,14.7,sandy,banana,100.0,200.0,40.0,10-26-26
11.6,63.8,46.3,sandy,beans,55.0,40.0,40.0,10-26-26
16.4,25.5,39.7,clay,cotton,133.1,53.4,45.0,No Fertilizer Needed
39.6,49.6,16.6,clay,mango,72.6,134.7,38.2,No Fertilizer Needed
19.4,81.7,16.9,clay,cotton,167.4,67.5,54.9,No Fertilizer Needed
12.1,59.4,40.5,sandy,pigeon peas,28.4,30.6,40.0,DAP
28.5,51.0,20.9,black,sugarcane,150.0,79.6,60.0,DAP
38.9,42.0,17.0,loamy,watermelon,80.0,76.5,40.0,DAP
28.2,74.5,44.5,alluvial,tea,128.2,80.0,40.0,10-26-26
25.3,72.3,24.8,red,sorghum,80.0,95.9,40.0,Urea
13.4,55.0,39.7,black,pearl millet,104.5,196.2,54.2,No Fertilizer Needed
21.6,78.7,31.0,sandy,mango,60.0,42.2,30.0,DAP
27.6,21.0,20.8,clay,maize,187.5,97.3,63.7,No Fertilizer Needed
31.4,73.7,31.2,alluvial,banana,100.0,200.0,40.0,10-26-26
12.5,25.5,56.0,loamy,sugarcane,150.0,60.0,60.0,DAP
32.9,65.5,42.2,alluvial,coffee,100.0,127.8,40.0,Urea
17.3,84.7,15.8,clay,soybean,145.7,127.4,40.0,No Fertilizer Needed
15.3,20.9,16.9,alluvial,pigeon peas,46.6,73.2,40.0,No Fertilizer Needed
